dokumen,0.05,0.1,0.2,0.3
Sebanyak lima negara akan meminjamkan pesawat Hercules C-130 guna memudahkan penanganan bencana gempa dan tsunami di Sulawesi Tengah.,yes,yes,yes,yes
"Menteri Koordinator Bidang Politik Hukum dan Keamanan Wiranto mengatakan negara yang bersedia mengirimkan pesawat C130, yakni Singapura, Malaysia, India, Korea Selatan, dan Amerika Serikat.",yes,yes,yes,yes
"""Kita minta bantuan pesawat C130.",no,no,no,no
Pesawat jenis itu yang bisa mendarat dan take off.,no,no,no,no
"Jumlah pesawat C130 kita terbatas,"" ujar Wiranto dalam jumpa pers di Jakarta, Selasa (2/10).",no,no,no,no
"Dengan kondisi Bandara Mutiara Sis-Al Jufri di Palu, pesawat Hercules C-130 memang ideal karena bobotnya berat dan bisa mendarat dan lepas landas di landasan pacu yang pendek.",no,no,no,no
"Bandara Mutiara Sis-Al Jufri sejatinya memiliki landasan pacu sepanjang 2.500 meter, namun hanya 2.000 meter yang bisa digunakan lantaran sisanya rusak akibat gempa.",no,no,no,no
"Wiranto menambahkan, pesawat angkut tersebut akan mengangkut bantuan dari Balikpapan dan Makassar ke Palu.",no,no,no,no
Gempa dan tsunami yang melanda Palu dan sejumlah daerah lainnya di Sulawesi Tengah membuat berbagai negara menyampaikan duka cita sekaligus tawaran bantuan.,no,yes,yes,yes
Pemerintah Indonesia memutuskan untuk menerima tawaran tersebut.,no,no,no,no
"Keputusan pemerintah Indonesia menerima bantuan internasional dicuitkan Thomas Lembong, Kepala Badan Koordinasi Penanaman Modal, pada Senin (1/10).",no,no,no,no
"""Tadi malam, Presiden Jokowi memberi persetujuan kepada kami untuk menerima bantuan internasional untuk penanganan darurat bencana.",no,no,no,no
Saya membantu mengoordinasikan bantuan sektor swasta dari seantero dunia.,no,no,no,no
"Mohon kirimkan pesan kepada saya melalui akun media sosial atau email: tom@bkpm.go.id,"" sebutnya.",no,no,no,no
"Secara terpisah, juru bicara Badan Nasional Penanggulangan Bencana (BNPB), Sutopo Purwo Nugroho, menyatakan telah menghubungi Menteri Luar Negeri Retno Marsudi yang tengah berada di New York, AS.",no,no,no,no
"""Beliau mengatakan bahwa Presiden telah menyatakan menerima bantuan internasional sesuai kebutuhan kita.",no,no,no,no
