dokumen,0.05,0.1,0.2,0.3
"Polusi udara di India dalam kategori ""berbahaya"".",no,no,no,no
"Kabut asap beracun yang melanda Delhi, India, membuat polusi udara di kota tersebut mencapai tingkat terburuk.",yes,yes,yes,yes
"Di banyak daerah di Delhi kualitas udara memburuk ke dalam kategori ""berbahaya"" pada hari Minggu dengan potensi menyebabkan penyakit pernapasan.",no,no,yes,yes
Pihak berwenang meminta warga berada di dalam rumah untuk meminimalkan dampak buruk asap terhadap kesehatan.,no,no,no,yes
"Sekolah-sekolah diliburkan dan puluhan penerbangan dibatalkan, sementara peranti pemurni udara dipasang di Taj Mahal di kota Agra.",no,no,no,no
"Menteri Kesehatan Delhi Satyendar Jain menyarankan penduduk kota untuk ""menghindari aktivitas fisik luar ruangan, terutama pada pagi dan sore hari"".",no,no,yes,yes
"Pejabat itu juga mengatakan orang-orang harus mengenakan topeng anti-polusi, menghindari area yang tercemar dan menutup pintu dan jendela.",no,no,no,yes
"Tingkat partikel berbahaya di udara - dikenal sebagai PM2.5 - jauh lebih tinggi dari yang direkomendasikan dan sekitar tujuh kali lebih tinggi daripada di ibukota Cina, Beijing.",no,no,no,no
"Seorang pejabat kementerian kesehatan India mengatakan pemantau polusi kota tidak memiliki angka yang cukup untuk secara akurat mencatat tingkat polusi, yang disebutnya sebagai ""bencana"".",yes,yes,yes,yes
"Lima juta masker dibagikan di sekolah pada hari Jumat ketika para pejabat mengumumkan darurat kesehatan masyarakat dan Kepala Menteri ibukota Delhi Arvid Kejriwal menyamakan kota itu dengan ""kamar gas"".",no,no,yes,yes
"Organisasi Kesehatan Dunia (WHO) mengatakan sepertiga kematian akibat stroke, kanker paru-paru dan penyakit jantung disebabkan oleh polusi udara.",no,no,no,yes
"""Ini memiliki efek setara dengan merokok tembakau,"" kata WHO di situs webnya.",no,no,no,no
"Komentar terakhir Kejriwal tampaknya tidak akan membuat senang para pejabat pemerintah, lapor editor regional BBC Asia Selatan Jill McGivering.",no,no,no,no
Dia mengatakan politisi India saling menyalahkan atas kondisi tersebut.,no,no,no,no
Pada hari Minggu kaum muda di Delhi melakukan aksi demonstrasi dan menuntut adanya tindakan tentang masalah polusi itu.,no,no,no,no
"""Kamu jelas bisa lihat betapa mengerikannya itu dan itu benar-benar menakutkan kamu tidak bisa melihat hal-hal di depan kamu,"" kata Jaivipra.",no,no,no,no
Dia mengatakan dia ingin langkah-langkah anti-polusi jangka panjang dan berkelanjutan diberlakukan.,no,no,no,no
"""Kami prihatin dengan masa depan kami dan kesehatan kami, tetapi kami juga memperjuangkan ini atas nama anak-anak dan orang tua yang menanggung beban terbesar dari masalah di sini,"" katanya.",no,no,no,no
Beberapa menteri telah memicu kontroversi di media sosial karena menyarankan langkah-langkah yang sepele untuk tetap sehat.,no,no,no,no
"Harsh Vardhan, menteri serikat pekerja untuk kesehatan dan kesejahteraan keluarga, mendesak warga untuk makan wortel demi melindungi dari ""kebutaan di malam hari"" dan ""bahaya lain yang berhubungan dengan polusi terhadap kesehatan"".",no,yes,yes,yes
"Sementara itu, Prakash Javadekar, menteri lingkungan hidup, menyarankan warga untuk ""memulai hari Anda dengan musik"", menambahkan tautan ke ""komposisi tematik yang gemilang"".",no,no,no,no
"""Itukah alasanmu membuat kita tuli mendengar masalah polusi?""",no,no,no,no
satu pengguna Twitter merespons.,no,no,no,no
"""Sepertinya kamu terlalu sibuk mendengarkan musik sehingga kamu tidak bisa mendengarkan kami!""",no,no,no,no
Faktor utama di balik tingginya tingkat polusi pada saat ini adalah para petani di yang membakar sisa panen untuk membersihkan lahan mereka.,no,no,no,no
"Ini menciptakan kombinasi mematikan yang terdiri dari partikel, karbon dioksida, nitrogen dioksida dan sulfur dioksida - dan diperburuk oleh kembang api yang dinyalakan selama festival Hindu Diwali seminggu yang lalu.",no,no,no,no
"Asap kendaraan, konstruksi dan emisi industri juga berkontribusi terhadap kabut asap.",no,no,no,no
"Orang India berharap bahwa curah hujan selama minggu yang akan datang akan menghilangkan polutan, tetapi hujan diperkirakan baru akan tiba pada hari Kamis.",no,no,no,no
